"","X","name","date_time","price","brand","model","year","title_status","mileage","color","vin","lot","state","country","condition","month","part_of_day","state_name","state_code","first_name","condition_in_hours","mileage_group"
"1",0,"Gutzman, Todd","05-22-2020 15:40:00",6300,"toyota","cruiser",2008,"clean vehicle",274117,"black","  jtezu11f88k007763",159348797,"new jersey"," usa","10 days left","May","Aftrenoon","new jersey","NJ","Todd","240 hours left","Group 6"
"2",1,"Wheeler, Mike","11-28-2020 13:50:00",2899,"ford","se",2011,"clean vehicle",190552,"silver","  2fmdk3gc4bbb02217",166951262,"tennessee"," usa","6 days left","November","Aftrenoon","tennessee","TN","Mike","144 hours left","Group 4"
"3",2,"Hendricks, Dan","10-08-2020 21:00:00",5350,"dodge","mpv",2018,"clean vehicle",39590,"silver","  3c4pdcgg5jt346413",167655728,"georgia"," usa","2 days left","October","Evening","georgia","GA","Dan","48 hours left","Group 1"
"4",3,"Mrs Karas, Phil","01-16-2021 09:50:00",25000,"ford","door",2014,"clean vehicle",64146,"blue","  1ftfw1et4efc23745",167753855,"virginia"," usa","22 hours left","January","Morning","virginia","VA","Phil","22 hours left","Group 2"
"5",4,"Pascoe, Paul","08-14-2020 10:50:00",27700,"chevrolet","1500",2018,"clean vehicle",6654,"red","  3gcpcrec2jg473991",167763266,"florida"," usa","22 hours left","August","Morning","florida","FL","Paul","22 hours left","Group 1"
"6",5,"Ms Schoen, Lisa","03-09-2020 16:30:00",5700,"dodge","mpv",2018,"clean vehicle",45561,"white","  2c4rdgeg9jr237989",167655771,"texas"," usa","2 days left","March","Aftrenoon","texas","TX","Lisa","48 hours left","Group 1"
"7",6,"Mahlik, Nick","12-04-2020 20:00:00",7300,"chevrolet","pk",2010,"clean vehicle",149050,"black","  1gcsksea1az121133",167753872,"georgia"," usa","22 hours left","December","Evening","georgia","GA","Nick","22 hours left","Group 3"
"8",7,"Kostichka, Norb","08-23-2020 14:30:00",13350,"gmc","door",2017,"clean vehicle",23525,"gray","  1gks2gkc3hr326762",167692494,"california"," usa","20 hours left","August","Aftrenoon","california","CA","Norb","20 hours left","Group 1"
"9",8,"Wheeler, Mike","02-09-2020 16:30:00",14600,"chevrolet","malibu",2018,"clean vehicle",9371,"silver","  1g1zd5st5jf191860",167763267,"florida"," usa","22 hours left","February","Aftrenoon","florida","FL","Mike","22 hours left","Group 1"
"10",9,"Holewinski, Gene","11-29-2020 14:20:00",5250,"ford","mpv",2017,"clean vehicle",63418,"black","  2fmpk3j92hbc12542",167656121,"texas"," usa","2 days left","November","Aftrenoon","texas","TX","Gene","48 hours left","Group 2"
"11",10,"Halla, Al","01-28-2020 11:20:00",10400,"dodge","coupe",2009,"clean vehicle",107856,"orange","  2b3lj54t49h509675",167753874,"georgia"," usa","22 hours left","January","Morning","georgia","GA","Al","22 hours left","Group 3"
"12",11,"Utech, Carol","07-29-2019 16:40:00",12920,"gmc","mpv",2017,"clean vehicle",39650,"white","  1gks2bkc6hr136280",167692496,"california"," usa","20 hours left","July","Aftrenoon","california","CA","Carol","20 hours left","Group 1"
